dataset_key,source_column,model_column,role,data_type,transformation,valid_values_or_range,special_missing_codes,fit_scope,note
wine_quality_red,total sulfur dioxide,total sulfur dioxide,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,density,density,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,pH,pH,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,sulphates,sulphates,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,alcohol,alcohol,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,quality,quality,target,continuous,numeric target,3-8,,predefined_deterministic,
air_quality_no2,PT08.S1(CO),PT08.S1(CO),predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,PT08.S2(NMHC),PT08.S2(NMHC),predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,PT08.S3(NOx),PT08.S3(NOx),predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,PT08.S4(NO2),PT08.S4(NO2),predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,PT08.S5(O3),PT08.S5(O3),predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,T,T,predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,RH,RH,predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,AH,AH,predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Main sensor-meteorology scenario
air_quality_no2,CO(GT),CO(GT),sensitivity_predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Extended scope only
air_quality_no2,C6H6(GT),C6H6(GT),sensitivity_predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Extended scope only
air_quality_no2,NOx(GT),NOx(GT),sensitivity_predictor,continuous,numeric; -200 to missing; training-fold median imputation,,-200,train_only_imputation,Extended scope only
air_quality_no2,NMHC(GT),,excluded,continuous,excluded,,-200,not_used,90%+ missing
air_quality_no2,Date,,excluded,date,excluded,,,not_used,No time feature engineering in main protocol
air_quality_no2,Time,,excluded,time,excluded,,,not_used,No time feature engineering in main protocol
air_quality_no2,NO2(GT),NO2(GT),target,continuous,-200 to missing; keep valid target rows,,-200,predefined_deterministic,
servo,motor,motor_A..motor_E,predictor,nominal,Fixed one-hot A-E; all indicators retained,A-E,,predefined_deterministic,
servo,screw,screw_A..screw_E,predictor,nominal,Fixed one-hot A-E; all indicators retained,A-E,,predefined_deterministic,
servo,pgain,pgain,predictor,ordinal,numeric passthrough,,,predefined_deterministic,
servo,vgain,vgain,predictor,ordinal,numeric passthrough,,,predefined_deterministic,
servo,class,class,target,continuous,numeric target,,,predefined_deterministic,
tgss_bmi,age,age,predictor,continuous,special codes to missing; training median,18-120,"-88,-90,-99",train_only_imputation,
tgss_bmi,educlt,educlt,predictor,ordinal,special codes to missing; training median; no interpolation beyond observed bounds,1-9,"-88,-90,-99",train_only_imputation,
tgss_bmi,income,income,predictor,ordinal,special codes to missing; training median; no interpolation beyond observed bounds,1-23,"-88,-90,-99",train_only_imputation,
tgss_bmi,incomehh,incomehh,predictor,ordinal,special codes to missing; training median; no interpolation beyond observed bounds,1-24,"-88,-90,-99",train_only_imputation,
tgss_bmi,health,health,predictor,ordinal,special codes to missing; training median; no interpolation beyond observed bounds,1-5,"-88,-90,-99",train_only_imputation,
tgss_bmi,gender,gender,predictor,nominal,special codes to missing; training mode; fixed-category encoding,"1,2","-88,-90,-99",train_only_imputation_and_encoding,
tgss_bmi,marital,marital,predictor,nominal,special codes to missing; training mode; fixed-category encoding,1-6,"-88,-90,-99",train_only_imputation_and_encoding,
tgss_bmi,nuts1,nuts1,predictor,nominal,special codes to missing; training mode; fixed-category encoding,1-12,"-88,-90,-99",train_only_imputation_and_encoding,
tgss_bmi,empstat1,employment_status_1,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat2,employment_status_2,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat3,employment_status_3,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat4,employment_status_4,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat5,employment_status_5,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat6,employment_status_6,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat7,employment_status_7,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstat8,employment_status_8,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,empstatot,employment_status_ot,predictor,binary,"1=yes, 2=no; fixed mapping","1,2","-88,-90,-99",predefined_deterministic,
tgss_bmi,height,,excluded,continuous,excluded,,,not_used,Direct BMI component
tgss_bmi,weight,,excluded,continuous,excluded,,,not_used,Direct BMI component
tgss_bmi,workstat,,excluded,nominal,excluded,,"-88,-90,-99",not_used,83.89% structural missing in valid BMI scope
tgss_bmi,bmi,bmi,target,continuous,numeric; retain 10-60,10-60,"-88,-90,-99",predefined_deterministic,
tgss_income,age,age,predictor,continuous,predefined mapping; predictor missing retained for training-fold median/mode as applicable,18-120,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,gender,gender_female,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,educlt,education_level,predictor,ordinal,predefined mapping; predictor missing retained for training-fold median/mode as applicable,1-9,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,hhsize,household_members_excl_self,predictor,continuous,predefined mapping; predictor missing retained for training-fold median/mode as applicable,0-15,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,health,self_rated_health,predictor,ordinal,predefined mapping; predictor missing retained for training-fold median/mode as applicable,1-5,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,degurba,urbanisation_level,predictor,ordinal,predefined mapping; predictor missing retained for training-fold median/mode as applicable,1-3,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,sscover,health_insurance,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat1/empchek,currently_working,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,derived,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat2,student,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat3,unemployed_active,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat4,unemployed_inactive,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat5,permanent_illness_disability,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat6,retired,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat7,compulsory_military,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstat8,home_care_work,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,empstatot,other_employment_status,predictor,binary,predefined mapping; predictor missing retained for training-fold median/mode as applicable,"1,2","-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,workhrsw,weekly_work_hours,predictor,continuous,predefined mapping; predictor missing retained for training-fold median/mode as applicable,1-120 or 0 if not working,"-88,-90,-99",mixed_predefined_and_train_only,
tgss_income,income,approx_personal_monthly_net_income_tl,target,continuous,23 categories to representative TL; top open interval 212500,0-212500,"-88,-90,-99",predefined_deterministic,
